CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
HRAO,30302M004,Hartebeesthoek S OUTH,-25.89011111,27.68697222,1412.2
HRST,40160M001,HEARST CANADA ,49.66744444,276.4889444,228.4
HUEG,14280M001,HUEGELHEIM GERMA NY,47.83394444,7.596166667,278.3
HUEL,13451M001,Huelva SPAIN ,37.19997222,353.0796944,81.8
IBIZ,13454S001,Ibiza tide gauge SPAI,38.91125,1.448972222,59.9
ICT1,49258M001,Wichita ICT1 UNI TED S,37.58772222,262.6911111,363.3
IENG,12724S001,Torino I ITALY ,45.01513889,7.639416667,316.6
IISC,22306M002,Bangalore INDIA ,13.02116667,77.57038889,843.7
IJMU,13537M001,IJmuiden THE NED ERLAN,52.46197222,4.556055556,54.1
ILDG,18307M001,Port-Tudy (Groix)  FRA,47.64438889,356.5540833,56.3
ILDX,19724M001,Ile d'Aix FRANCE ,46.00944444,358.8231944,59
INEG,40507M001,Aguascalientes (I NEGI),21.85616667,257.7158056,1887.2
INRI,M,Loyola Universit ,29.937,269.8811389,-10.6
INVK,40150M001,INUVIK CANADA ,68.30619444,226.4730278,44.5
IPAZ,40521M002,La Paz MEXICO ,24.14527778,249.66925,-14.9
IQAL,40194M001,Iqualuit CANADA ,63.75597222,291.4895,91.8
IQQE,41708S002,Iquique CHILE ,-20.27352778,289.8682778,39
IRKJ,12313M002,Irkoutsk RUSSIA ,52.21902778,104.3161944,502.1
ISHI,21791M001,Ishioka JAPAN ,36.20883333,140.2189444,155.9
ISTA,20807M001,Istanbul TURKEY ,41.10444444,29.01933333,147.2
IUCO,40452M002,BLOOMINGTON UNIT ED ST,39.17405556,273.4935556,229.5
JFNG,21602M006,WUHAN-JIUFENG CH INA,30.51555556,114.4910278,69.4
JNU1,49519S001,JUNEAU ALASKA U NITED,58.36258333,225.4142778,15.8
JOG2,23109M002,YogYakarta INDON ESIA,-7.763805556,110.3724722,174.2
JOZ2,12204M002,Jozefoslaw - Wars aw P,52.09783333,21.03236111,152.5
JOZE,12204M001,Jozefoslaw - Wars aw P,52.09727778,21.03155556,139.5
JPLM,40400M007,Pasadena - JPL Me sa U,34.20483333,241.8267778,422
KABR,20709S001,KIBUTZ KABRI ISR AEL,33.02280556,35.14505556,103.4
KARA,50248M001,Karangarua NEW Z EALAN,-43.60838889,169.7751667,1403.3
KARR,50139M001,Karratha AUSTRAL IA,-20.98141667,117.0971944,107.2
KAT1,59968M001,Katherine - North ern T,-14.376,132.1532778,182.3
